Cesta,Lokacija,Smer,Št. vozil [N/h],Hitrost [km/h],Razmik [s],Zasedenost [%],Čas,Stanje
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:05:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 03:05:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),108,96,34.8,1.9,05.06.2026 03:05:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:10:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:10:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 03:10:00,Ni prometa
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,91,29.0,2.6,05.06.2026 03:10:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:15:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:15:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),12,129,1065.5,0.1,05.06.2026 03:15:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,103,22.4,1.7,05.06.2026 03:15:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:20:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:20:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),36,122,132.0,0.2,05.06.2026 03:20:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),120,101,30.6,1.9,05.06.2026 03:20:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:25:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:25:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),36,114,97.5,0.4,05.06.2026 03:25:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),144,95,26.4,2.7,05.06.2026 03:25:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:30:00,Ni podatka
AC-A1,Čebulovica AC,Gabrk - Senožeče (v),0,0,0.0,0.0,05.06.2026 03:30:00,Ni podatka
AC-A1,Čebulovica AC,Senožeče - Gabrk (p),0,0,0.0,0.0,05.06.2026 03:30:00,Normalen promet
AC-A1,Čebulovica AC,Senožeče - Gabrk (v),168,101,21.5,2.2,05.06.2026 03:30:00,Normalen promet
AC-A1,Čebulovica AC,Gabrk - Senožeče (p),0,0,0.0,0.0,05.06.2026 03:35:00,Ni podatka
